- banner:
  - button "导视":
  - link "YouTube 首页":
    - /url: /
  - generic: SG
  - button "跳过导航":
    - generic: 跳过导航
  - search:
    - combobox "搜索" [expanded]
    - button "Search":
  - button "通过语音搜索内容":
  - tooltip "tooltip"
  - button "创建":
    - generic: 创建
  - button "通知":
  - tooltip "tooltip"
  - button "账号菜单":
    - img "头像图片"
- main:
  - complementary:
    - generic "YouTube 视频播放器":
      - slider "播放滑块"
      - button "暂停 (k)":
      - button "静音 (m)":
      - slider "音量"
      - button "11 分钟 3 秒/23 分钟 12 秒": 11:03 / 23:12
      - 'button "Progression: Campaign"':
        - 'generic "Progression: Campaign"'
      - button "自动播放模式已开启"
      - button "无法显示字幕":
      - button "设置":
      - button "影院模式 (t)":
      - button "全屏 (f)":
  - heading "Kinetic Fusillade Ballista Hierophant | My Leaguestarter Build Guide for Patch 3.29" [level=1]
  - link "Palsteron":
    - /url: /@Palsteron
    - img "Palsteron"
  - generic "Palsteron":
    - link "Palsteron":
      - /url: /@Palsteron
  - generic "11.1万位订阅者"
  - button "当前设置为接收个性化通知。点按即可更改“Palsteron”频道的通知设置":
  - button "与另外 704 人一起顶此视频":
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
  - button "不喜欢此视频":
  - button "分享":
    - generic: 分享
  - button "提问":
    - generic: 提问
  - button "保存到播放列表":
    - generic: 保存
  - button "其他操作":
  - generic "24,502次观看":
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: ","
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: "0"
    - generic: "1"
    - generic: "2"
    - generic: "3"
    - generic: "4"
    - generic: "5"
    - generic: "6"
    - generic: "7"
    - generic: "8"
    - generic: "9"
    - generic: 次观看
  - text: 2026年7月23日
  - link "#CurseoftheAllflame":
    - /url: /hashtag/curseoftheallflame
  - link "#PoE":
    - /url: /hashtag/poe
  - link "#PathofExile":
    - /url: /hashtag/pathofexile
  - text: Watch Me Live at ►
  - 'link "Twitch Channel Link: palsteron"':
    - /url: https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rU0pGM3RoUi1WN3FYeW55U0RPNmQyN3xBR3JiS2FtRUNlcndLZVNJWUhMRFRxUUhMSVFJWEFCenZDMWtxN21EbmtqWHdtOUtQN1hoUGlsc08yLW50ZE9mcVlWMnllaE1RTnhKc0E0LWdoQ1BWZnNla0NOdjc5MTZza3Y0&q=https%3A%2F%2Fwww.twitch.tv%2Fpalsteron&v=_oBZ-N5Fg9Y
    - text: / palsteron
  - link "#PathofExile":
    - /url: /hashtag/pathofexile
  - link "#PoE":
    - /url: /hashtag/poe
  - link "#CurseoftheAllflame":
    - /url: /hashtag/curseoftheallflame
  - text: "Path of Building:"
  - link "https://pobb.in/VYkCtsG0KTaF":
    - /url: https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rUTBqU3pkSzBJeGphZUFJRE1qQnEzaHxBR3JiS2Fsb1pzNUFqMUtlcVRuWFBBZzFYbWtwaGZmZVNEVTZmdUVqTHl1VnlMd2xhaXdobkR5cW9GSmNOc3Zpd1ZqZHQ0UklYd183Mk1lTTA2bHhsUzZMbGY3cmtzc3VLSlNN&q=https%3A%2F%2Fpobb.in%2FVYkCtsG0KTaF&v=_oBZ-N5Fg9Y
  - text: "Written Guide on Maxroll (Update Soon):"
  - link "https://maxroll.gg/poe/build-guides/k...":
    - /url: https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rU1RZU0FfYVU5SGpwdzg2ajh2NGV5UnxBR3JiS2Fsc1o3LUxkRm41aXNxc1VZLTl6WVJVS1hvcTJ1VXJaVmlINGxuTERZd3B0S0I1Q21xandaaU1JVUFZRTg1ZUExcGlWYjZpdEpVTjJnRUFSTFFmTjBZbGplMkRqODNB&q=https%3A%2F%2Fmaxroll.gg%2Fpoe%2Fbuild-guides%2Fkinetic-fusillade-ballista-hierophant-league-starter&v=_oBZ-N5Fg9Y
  - text: "Kinetic Fusillade Change Overview:"
  - 'link "YouTube Channel Link: What the Kinetic Fusillade Change ACTUALLY Means | Path of Exile Patch 3.29"':
    - /url: /watch?v=7n0fMQ4NPlA
    - text: • What the Kinetic Fusillade Change ACTUALLY...
  - text: "Chapters:"
  - link "0秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y
    - text: 00:00
  - text: Kinetic Fusillade Still Strong
  - link "1分钟11秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=71s
    - text: 01:11
  - text: Changes After this Patch
  - link "3分钟50秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=230s
    - text: 03:50
  - text: Kinetic Fusillade Mechanics
  - link "5分钟46秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=346s
    - text: 05:46
  - text: Why Totems?
  - link "6分钟18秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=378s
    - text: 06:18
  - text: Damage Scaling
  - link "7分钟7秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=427s
    - text: 07:07
  - text: Defenses
  - link "7分钟39秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=459s
    - text: 07:39
